Total: 36
Start: (13,1,29)
End: (41,37,11)

Path: 
  (13,1,29)
  (12,2,29)
  (11,3,28)
  (10,4,29)
  (10,5,28)
  (11,6,27)
  (12,7,26)
  (13,8,25)
  (14,9,24)
  (15,10,23)
  (16,11,22)
  (17,12,21)
  (18,13,20)
  (19,14,19)
  (19,15,18)
  (20,16,17)
  (21,17,16)
  (22,18,15)
  (23,19,14)
  (24,20,13)
  (25,21,12)
  (26,22,11)
  (27,23,10)
  (28,24,9)
  (29,25,8)
  (30,26,9)
  (31,27,10)
  (32,28,9)
  (33,29,8)
  (34,30,7)
  (35,31,8)
  (36,32,9)
  (37,33,10)
  (38,34,10)
  (39,35,11)
  (40,36,12)
  (41,37,11)
